compound,vina_kcal_mol,seconds
"DOXYLAMINE",-4.286,13.4
"DEFERIPRONE",-4.072,2.3
"LEVODOPA",-4.765,8.6
"VILOXAZINE",-4.331,10.0
"LORACARBEF ANHYDROUS",-5.534,17.9
"XYLOMETAZOLINE",-4.540,7.3
"DEXKETOPROFEN",-4.970,12.6
"TOLMETIN",-5.696,10.2
"NEPAFENAC",-5.161,10.6
"BEXAROTENE",-5.669,15.1
"IFOSFAMIDE",-3.732,6.2
"ISOFLUROPHATE",-3.706,3.9
"ARTENIMOL",-4.476,5.1
"FENOLDOPAM MESYLATE",-4.003,27.3
"MIGLUSTAT",-4.460,8.4
"DICLOFENAC SODIUM",-4.567,10.5
"GUANADREL",-4.756,5.1
"DAPSONE",-5.071,6.5
"CHLORTHALIDONE",-5.653,12.7
"FLUORESCEIN",-5.196,6.2
"PREGABALIN",-4.002,6.3
"RITODRINE",-5.265,22.3
"OXCARBAZEPINE",-3.853,18.6
"MOCLOBEMIDE",-4.304,9.7
"NABUMETONE",-4.455,8.0
"OXAPROZIN",-4.913,16.8
"MEPTAZINOL",-3.195,21.4
"PROCYCLIDINE",-4.085,14.6
"ESLICARBAZEPINE",-3.668,22.9
"ESLICARBAZEPINE ACETATE",-3.745,32.0
"TIZANIDINE",-4.423,5.1
"MASOPROCOL",-5.606,25.1
"MEPIVACAINE",-4.152,6.2
"PHENELZINE",-4.127,3.9
"VIDARABINE",-4.589,10.5
"TRIHEXYPHENIDYL HYDROCHLORIDE",-4.425,15.3
"ARTICAINE",-4.085,14.4
"FELBAMATE",-5.162,10.9
"ETHOTOIN",-4.406,4.1
"AMLEXANOX",-5.013,7.7
"IPRONIAZID",-4.243,4.5
"BUPIVACAINE",-3.947,14.0
"PARAMETHADIONE",-3.854,2.2
"BIPERIDEN",-4.420,16.8
"SULTHIAME",-5.068,7.5
"GLUTETHIMIDE",-4.591,3.9
"FURAZOLIDONE",-5.726,5.3
"EDROPHONIUM",-3.697,3.3
"FELBINAC",-4.929,6.1
"EPINASTINE",-4.817,2.8
"SULFAPHENAZOLE",-4.313,14.2
"ALOSETRON",-5.698,10.1
"AMOXAPINE",-4.973,4.8
"PYRIDOSTIGMINE",-3.668,3.5
"DESVENLAFAXINE",-4.640,8.2
"MINODRONIC ACID",-4.851,19.0
"LEVOMILNACIPRAN",-4.134,9.0
"PENTAZOCINE",-5.119,7.6
"PENICILLIN G SODIUM",-4.652,16.5
"EDROPHONIUM CHLORIDE",-3.697,3.2
"TRIFLURIDINE",-5.313,10.9
"ACITRETIN",-4.752,17.9
"MIGALASTAT",-4.480,4.2
"METHYL SALICYLATE",-4.291,3.0
"TORSEMIDE",-5.034,23.6
"LEVOCARNITINE",-3.715,4.3
"PINACIDIL ANHYDROUS",-4.568,8.5
"NORETHINDRONE",-5.014,4.6
"SPECTINOMYCIN",-4.798,8.5
"AMINOSALICYLIC ACID",-4.728,3.7
"TESTOSTERONE PROPIONATE",-4.848,9.1
"DESLORATADINE",-3.749,19.3
"DULOXETINE",-4.338,14.8
"TISOPURINE",-4.167,2.4
"TETRABENAZINE",-4.437,8.9
"ACETYLCHOLINE CHLORIDE",-3.427,3.4
"ZOLMITRIPTAN",-5.154,16.3
"PHYSOSTIGMINE SALICYLATE",-4.626,7.6
"PHENIRAMINE",-3.782,9.0
"PRILOCAINE",-3.874,9.1
"HEXYLCAINE",-4.280,14.9
"IPRINDOLE",-3.392,30.3
"CIPROFLOXACIN HYDROCHLORIDE",-5.527,13.4
"ETHOPROPAZINE",-3.848,15.1
"CINOXACIN",-5.780,6.5
"PHENYLEPHRINE",-4.373,4.8
"RAMELTEON",-4.967,10.5
"TINIDAZOLE",-4.354,7.7
"PENICILLIN G POTASSIUM",-4.652,14.2
"ACRIVASTINE",-5.061,25.9
"BENZYL BENZOATE",-4.444,7.3
"TRIPELENNAMINE",-4.125,12.0
"SULFABENZAMIDE",-4.974,9.9
"VILDAGLIPTIN",-5.532,15.8
"ISOFLURANE",-3.599,2.8
"ENFLURANE",-3.531,2.9
"CITRIC ACID",-4.577,8.1
"TETRAHYDROZOLINE",-4.387,3.4
"PENTOLINIUM",-3.672,11.4
"NILUTAMIDE",-5.175,9.0
"NARATRIPTAN",-5.021,19.3
"FROVATRIPTAN",-5.635,5.0
"PHENOBARBITAL SODIUM",-5.223,5.1
"IMIQUIMOD",-4.558,5.2
"LEVETIRACETAM",-4.287,3.3
"PENBUTOLOL",-4.293,18.6
"QUINIDINE",-4.748,18.2
"FENOPROFEN",-4.621,9.1
"ACIPIMOX",-4.538,2.9
"QUININE",-5.280,16.8
"HYDROXYSTILBAMIDINE",-5.124,11.1
"ROTIGOTINE",-4.512,15.7
"ANTAZOLINE",-4.316,11.3
"ISOSORBIDE MONONITRATE",-4.941,3.2
"TIOPRONIN",-4.051,4.0
"CARPROFEN",-5.013,7.6
"PROCARBAZINE",-4.319,7.7
"BENORILATE",-5.120,20.6
"CEVIMELINE",-3.681,2.0
"PIXANTRONE",-5.326,19.5
"NITISINONE",-5.332,11.9
"DEBRISOQUIN",-4.540,3.5
"GUANETHIDINE MONOSULFATE",-2.763,18.3
"TILUDRONIC ACID",-4.874,11.1
"SODIUM CITRATE",-4.577,8.9
"AMPICILLIN",-4.749,18.9
"PYRIDOXINE",-4.224,4.1
"CHLORZOXAZONE",-5.167,1.9
"METHYLENE BLUE CATION",-4.137,3.9
"MODAFINIL",-4.536,8.9
"TIAPROFENIC ACID",-5.039,10.1
"ESFLURBIPROFEN",-4.520,9.2
"DEXIBUPROFEN",-4.326,6.5
"CANNABIDIOL",-4.452,17.5
"PROGUANIL",-4.615,5.8
"ABACAVIR",-5.036,14.9
"ESTRIOL",-5.019,5.5
"NORETHYNODREL",-5.136,4.0
"MONOBENZONE",-4.258,6.0
"LEVONORGESTREL",-4.819,5.3
"METHYLTESTOSTERONE",-5.071,4.7
"COCAINE",-4.753,11.6
"ANASTROZOLE",-5.579,12.2
