gene,log2FC,t,P,FDR,AveExpr,sig
APOL3,2.81782058278845,28.677610320091336,1.1809862887559943e-09,1.0727466107466365e-07,1.597180239048219,Up
TNFSF12-TNFSF13,2.446979928258265,28.662875914210915,1.1860313890020898e-09,1.0727466107466365e-07,1.9694346361926571,Up
HMCN1,-3.7771052067161546,-28.645952461063914,1.1918557885939414e-09,1.0727466107466365e-07,4.8196817070976,Down
XG,2.3641845286534853,28.509021698389937,1.2401763448752495e-09,1.1091284113626357e-07,1.8352189466894895,Up
ATP13A4,2.774157442665903,28.473440222571863,1.253088394092237e-09,1.1135831735094367e-07,1.6238328253385237,Up
NCAPD2,-2.02654626961754,-28.353149703236138,1.2978663680321034e-09,1.1461221178326267e-07,6.582100752711692,Down
ARSJ,2.077135854380645,28.286372785348263,1.3234946337874078e-09,1.1614492595630621e-07,2.269135165826754,Up
CXCL17,3.0414352634405706,28.127688899386524,1.3866971888800383e-09,1.2093549831717154e-07,1.7161852566692473,Up
ANKH,2.5580002917555413,27.994841118024492,1.4422115432333203e-09,1.2500056962061143e-07,3.3302748842646803,Up
HLA-DRB1,2.8150355906417723,27.961640412768368,1.4564706994377962e-09,1.2546199442212328e-07,3.9174047199891917,Up
SLIT1,2.6245812334927883,27.917646998307823,1.4756086193575597e-09,1.2633549161219204e-07,1.5488320549586863,Up
SPATA17,2.5745274722716522,27.77051308628776,1.5416869354503804e-09,1.311928864282351e-07,2.3815097133932897,Up
PDZRN3,2.1156992521186746,27.64205618112963,1.6020910101086092e-09,1.3516717186797766e-07,3.222392262649873,Up
BDKRB2,2.851163473720049,27.63052148087049,1.6076431665801772e-09,1.3516717186797766e-07,3.908195166953707,Up
CPNE4,2.5054176689082177,27.545014710352355,1.6494787567007817e-09,1.3710351936001831e-07,1.8967076104390468,Up
ARMCX2,2.232828335886852,27.528173319204022,1.6578614064092242e-09,1.3710351936001831e-07,4.116507830901025,Up
ZNF112,-2.33221961044095,-27.52395774625451,1.6599671171001434e-09,1.3710351936001831e-07,2.165300336799843,Down
PIM1,-2.1413398850429552,-27.391160092710045,1.7278566617527613e-09,1.4187623033725449e-07,3.8602167199673443,Down
TRIP6,-3.9110706457562188,-27.34137025769585,1.7541063021373188e-09,1.4262108999961367e-07,2.7267634419970084,Down
FBXO32,2.5423337109114694,27.306402594604734,1.7728081171667045e-09,1.4262108999961367e-07,3.115979999870481,Up
ABCA1,-2.4485281748274885,-27.300700521208082,1.7758788602354435e-09,1.4262108999961367e-07,1.6108636954224849,Down
DSCAM,-2.369091065262672,-27.297587330639338,1.7775579196590265e-09,1.4262108999961367e-07,6.3094070763179,Down
ZC4H2,2.162224131455327,27.256790874719506,1.7997258190189559e-09,1.434258963392373e-07,1.125928101655765,Up
MUCL1,4.412934648406389,27.241674275515535,1.808018207538281e-09,1.434258963392373e-07,3.458042031456632,Up
CYP8B1,2.3086451486835204,27.166714868987057,1.849774421353762e-09,1.4591394747319198e-07,1.1543225743417602,Up
CGAS,-2.5816249899959276,-27.13542136183738,1.867524683125366e-09,1.460907913108746e-07,2.8165051280477056,Down
PIP4K2A,-2.182986338712737,-27.126140589305916,1.872825470832379e-09,1.460907913108746e-07,6.374161926584527,Down
PLK2,-2.7720073222463513,-27.087678169743292,1.894973660845132e-09,1.4700179652998066e-07,8.83184549836374,Down
RNASE4,2.8277964456856965,27.028415174540754,1.9296752888770744e-09,1.4887126775342307e-07,1.7687393265863787,Up
IRF1,2.170228777541355,27.008343057218386,1.941589224058911e-09,1.4897188139350367e-07,4.06937323317123,Up
DHRS3,2.2582174460049074,26.97796021370997,1.959779961180743e-09,1.4955038279858051e-07,1.7809970608997636,Up
SDR16C5,3.196213228305825,26.908573848529343,2.0020417215926797e-09,1.5134102844954805e-07,2.410558677437297,Up
PPARA,-2.5335360327952525,-26.90144884388966,2.0064387966553535e-09,1.5134102844954805e-07,2.5367425273600657,Down
HCK,3.2226460359418883,26.886690637065197,2.0155809643234447e-09,1.5134102844954805e-07,2.108241293197052,Up
KIF1A,3.273243726714743,26.829518528919845,2.0514393488692994e-09,1.5317486946231103e-07,4.412582080295664,Up
ANP32A,-2.294922338488563,-26.813172141322795,2.0618225431505436e-09,1.5317486946231103e-07,6.653523218275118,Down
IFI6,3.4175531490574587,26.786908120499415,2.0786286922084474e-09,1.533121690473049e-07,7.620814083156813,Up
LIPH,2.156114016558634,26.767222002266706,2.0913261420780798e-09,1.533121690473049e-07,3.409124091273217,Up
ACKR3,-2.7159442145167136,-26.755186337656234,2.0991317982102956e-09,1.533121690473049e-07,6.27839661233661,Down
DNM1,-2.2793501752656202,-26.73955598951401,2.1093174333432434e-09,1.533121690473049e-07,3.1913048226495313,Down
KLHL4,-2.2863347699941126,-26.725894783163955,2.1182651374672137e-09,1.533121690473049e-07,1.3346370924405333,Down
KCNK2,-5.5923890831745275,-26.668027600728436,2.156640073196513e-09,1.5502746735814793e-07,3.490309006246832,Down
PMP22,2.487764318329672,26.656991010297325,2.1640469768675303e-09,1.5502746735814793e-07,3.7770643908653425,Up
C12orf56,2.3228268075656953,26.63636115137689,2.177968542946643e-09,1.5523277315489244e-07,1.1730150034278137,Up
GJB5,2.7052245938595862,26.617192018703616,2.1909941832682002e-09,1.553563248190796e-07,1.446228029299405,Up
SCART1,2.012263749338998,26.601340961554268,2.2018309692327354e-09,1.553563248190796e-07,1.4867637904324165,Up
UGT2B10,2.156143698384191,26.537941266314192,2.2457783111625517e-09,1.5766486633516693e-07,1.1311448295652216,Up
NAALADL2,-3.1151266441297394,-26.460574279004575,2.300741791756573e-09,1.6071997760225892e-07,4.410940223313458,Down
PLCXD3,-5.014837326509958,-26.423625213560697,2.327520815634601e-09,1.6115967298589508e-07,3.134043238305312,Down
LGALS3BP,4.1725570380099715,26.406256661068745,2.340229042637302e-09,1.6115967298589508e-07,6.00964954393772,Up
HDX,2.1689042036690016,26.404566954752102,2.3414695028219213e-09,1.6115967298589508e-07,1.2383187936321798,Up
CDKN2C,-1.981406745533242,-26.289997049865192,2.4273188643709627e-09,1.6625358133967164e-07,3.203550244626339,Down
UGT2B15,2.4181803078862423,26.205156419385073,2.493160640414395e-09,1.693403371611001e-07,2.9877908403376945,Up
HLA-DRB5,2.2927897938213704,26.200912007581184,2.496506644280872e-09,1.693403371611001e-07,3.1769958025674288,Up
