name,source,smiles,MW,LogP,HBD,HBA,TPSA,RotB,QED,heavy,Lipinski_viol
SAQUINAVIR MESYLATE,CHEMBL282042,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,670.855,3.092400000000003,5,7,166.75,12,0.19750207121883465,49,1
TEGAFUR,CHEMBL20883,O=c1[nH]c(=O)n(C2CCCO2)cc1F,200.16899999999998,-0.015300000000000313,1,3,64.09,1,0.6927125296086033,14,0
PENICILLIN V,CHEMBL615,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O,350.3960000000001,0.6970999999999998,2,5,95.94000000000001,5,0.759069056624305,24,0
CEPHALOTHIN,CHEMBL617,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,396.4460000000001,0.5923000000000007,2,7,113.00999999999999,6,0.5344806106940523,26,0
MILTEFOSINE,CHEMBL125,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,407.57600000000014,5.675500000000006,0,4,58.59,20,0.148054699506973,27,1
LINEZOLID,CHEMBL126,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,337.35100000000006,1.1235999999999997,1,5,71.11,4,0.8915973887511962,24,0
CLIDINIUM,CHEMBL620,C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2,352.45400000000006,2.7045000000000012,1,3,46.53,4,0.6797893586378044,26,0
MEROPENEM,CHEMBL127,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,383.4700000000002,-0.3079999999999994,3,6,110.17999999999999,5,0.5588251961475821,26,0
TRAZODONE,CHEMBL621,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,371.8720000000001,2.3617,0,4,45.78,5,0.690401062854676,26,0
ETODOLAC,CHEMBL622,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,287.35900000000004,3.383000000000002,2,2,62.32000000000001,4,0.9057842881790305,21,0
PRANLUKAST,CHEMBL21333,O=C(Nc1cccc2c(=O)cc(-c3nnn[nH]3)oc12)c1ccc(OCCCCc2ccccc2)cc1,481.51200000000034,4.627100000000003,2,7,123.0,9,0.29435081952595227,36,0
THIABENDAZOLE,CHEMBL625,c1ccc2[nH]c(-c3cscn3)nc2c1,201.254,2.6864,1,3,41.57,1,0.6572828314318542,14,0
XANOMELINE,CHEMBL21536,CCCCCCOc1nsnc1C1=CCCN(C)C1,281.425,3.2161000000000017,0,5,38.25000000000001,7,0.7193179399301258,19,0
NAFTIFINE,CHEMBL626,CN(C/C=C/c1ccccc1)Cc1cccc2ccccc12,287.406,4.985000000000004,0,1,3.24,5,0.6390791725132271,22,0
LORMETAZEPAM,CHEMBL22097,CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,335.1900000000001,3.1256000000000013,1,3,52.900000000000006,1,0.8705347056850516,22,0
PENTOXIFYLLINE,CHEMBL628,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,278.31200000000007,0.19300000000000006,0,4,78.89,5,0.7314900236053014,20,0
AMITRIPTYLINE,CHEMBL629,CN(C)CCC=C1c2ccccc2CCc2ccccc21,277.411,4.168600000000003,0,1,3.24,3,0.8136783893547587,21,0
SUMATRIPTAN,CHEMBL128,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,295.408,1.3211999999999997,2,3,65.2,6,0.8445712183265353,20,0
PROPAFENONE,CHEMBL631,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,341.4510000000001,3.2414000000000023,2,4,58.559999999999995,11,0.4865357366381187,25,0
BETAMETHASONE,CHEMBL632,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,392.4670000000002,1.8957000000000002,3,5,94.83,2,0.667213496992105,28,0
AMIODARONE,CHEMBL633,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,645.3190000000002,6.936200000000007,0,4,42.68,11,0.1676472462674973,31,2
ALFENTANIL,CHEMBL634,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,416.52600000000024,1.3838999999999997,0,6,85.49000000000001,9,0.6140453744926113,30,0
PREDNISONE,CHEMBL635,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,358.43400000000014,1.7658,2,5,91.67,2,0.7848332802556961,26,0
RIVASTIGMINE,CHEMBL636,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,250.34199999999998,2.7597000000000014,0,3,32.78,4,0.8234224757170807,18,0
